cluster,Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water,Total
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222222222222,0.0,0.0,0.0,0.0,22.22222222222222,0.0,0.0,0.0,55.55555555555556,100.0
1,0.0,1.639344262295082,1.639344262295082,0.0,17.21311475409836,0.819672131147541,1.639344262295082,5.737704918032787,0.0,0.819672131147541,1.639344262295082,1.639344262295082,10.655737704918032,0.0,46.72131147540984,3.278688524590164,3.278688524590164,3.278688524590164,100.0
2,4.444444444444445,4.444444444444445,0.0,0.0,0.0,6.666666666666667,75.55555555555556,0.0,0.0,0.0,0.0,0.0,4.444444444444445,0.0,2.2222222222222223,0.0,0.0,2.2222222222222223,100.0
3,5.0,8.75,0.0,37.5,1.25,0.0,0.0,1.25,0.0,0.0,0.0,1.25,33.75,2.5,0.0,0.0,7.5,1.25,100.0
4,0.0,0.0,38.46153846153847,7.6923076923076925,0.0,0.0,7.6923076923076925,7.6923076923076925,0.0,0.0,0.0,7.6923076923076925,7.6923076923076925,0.0,7.6923076923076925,0.0,7.6923076923076925,7.6923076923076925,100.0
5,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,11.11111111111111,0.0,0.0,4.444444444444445,15.555555555555555,8.88888888888889,4.444444444444445,24.444444444444443,0.0,6.666666666666667,2.2222222222222223,20.0,100.0
6,5.357142857142857,2.6785714285714284,0.0,0.0,3.571428571428571,0.8928571428571428,0.0,3.571428571428571,1.7857142857142856,61.60714285714286,0.8928571428571428,1.7857142857142856,1.7857142857142856,13.392857142857142,1.7857142857142856,0.0,0.0,0.8928571428571428,100.0
7,0.0,2.127659574468085,0.0,0.0,4.25531914893617,2.127659574468085,0.0,2.127659574468085,0.0,4.25531914893617,6.382978723404255,6.382978723404255,0.0,0.0,0.0,0.0,2.127659574468085,70.2127659574468,100.0
8,3.0303030303030303,0.0,0.0,0.0,0.0,1.5151515151515151,0.0,3.0303030303030303,3.0303030303030303,3.0303030303030303,18.181818181818183,1.5151515151515151,6.0606060606060606,0.0,3.0303030303030303,36.36363636363637,18.181818181818183,3.0303030303030303,100.0
9,2.083333333333333,1.0416666666666665,6.25,3.125,1.0416666666666665,0.0,0.0,2.083333333333333,0.0,0.0,7.291666666666667,15.625,2.083333333333333,3.125,1.0416666666666665,7.291666666666667,0.0,47.91666666666667,100.0
10,11.864406779661017,4.23728813559322,3.389830508474576,0.847457627118644,0.0,0.0,2.5423728813559325,46.61016949152542,0.0,0.0,0.847457627118644,0.847457627118644,19.491525423728813,4.23728813559322,0.0,0.0,1.694915254237288,3.389830508474576,100.0
11,0.0,6.25,0.0,3.125,0.0,0.0,9.375,6.25,62.5,0.0,0.0,3.125,0.0,9.375,0.0,0.0,0.0,0.0,100.0
12,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,33.33333333333333,0.0,0.0,16.666666666666664,100.0
13,27.710843373493976,7.228915662650602,3.614457831325301,0.0,0.0,1.2048192771084338,0.0,3.614457831325301,3.614457831325301,0.0,12.048192771084338,0.0,1.2048192771084338,12.048192771084338,0.0,8.433734939759036,10.843373493975903,8.433734939759036,100.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,100.0
15,78.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,7.142857142857142,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,100.0
16,0.0,12.5,21.875,1.5625,3.125,0.0,0.0,6.25,0.0,0.0,20.3125,0.0,10.9375,3.125,0.0,15.625,1.5625,3.125,100.0
17,1.4084507042253522,9.859154929577464,0.0,4.225352112676056,0.0,47.88732394366197,4.225352112676056,1.4084507042253522,1.4084507042253522,5.633802816901409,0.0,2.8169014084507045,14.084507042253522,2.8169014084507045,2.8169014084507045,0.0,1.4084507042253522,0.0,100.0
