Pokemon,fire,water,grass,electric,rock,ground,flying,normal,fighting,psychic,dark,ghost,bug,dragon,ice,fairy,steel,poison,clusters
Abomasnow,0.0,0.013781263647945022,0.02718037550672013,0.0,0.041674379376527654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037807269914542536,0.0,0.0,0.0,7
Abra,0.01213317314210666,0.0,0.011607731612790485,0.0,0.0,0.02301586537915138,0.013648655637355745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01076405639482634,0.0,0.0,0.0,9
Absol,0.01075159863794276,0.01043060720515432,0.0,0.0,0.023656525241426002,0.0,0.0,0.0,0.0,0.0,0.01336007234157647,0.011897904294597358,0.0,0.0,0.009538379838306653,0.0,0.0,0.0,3
Accelgor,0.0,0.014052153736136847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01602890196103893,0.04857618186865954,0.0,0.0,0.0,0.0,0.013597773915792762,11
Aegislash,0.0,0.0,0.0,0.0,0.024779600695053354,0.016022510695696338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Aerodactyl,0.024773300099510127,0.0,0.0,0.0,0.03633879443436386,0.011748347555284361,0.027867585675974048,0.027248892001038652,0.017562163735517843,0.0,0.0,0.027414560715196955,0.0,0.04838739322276531,0.010988930769959495,0.0,0.01965012645420967,0.0,3
Aggron,0.021534748560894813,0.010445911862249144,0.0,0.0,0.03948539344812319,0.020425030948061283,0.0,0.0,0.0,0.0,0.013379675354318513,0.011915361892395294,0.0,0.05608244049756894,0.019104750689944404,0.0,0.0,0.0,3
Aipom,0.011490537128310793,0.011147484518133468,0.010992925717787757,0.0,0.00842746555704882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010193935931463031,0.0,0.0,0.010787027885808686,3
Alakazam,0.011193250307046395,0.0,0.010708513256773657,0.0,0.0,0.021232890951508685,0.012591332631150195,0.0,0.0,0.026626113786571773,0.013908874287008056,0.0,0.0,0.0,0.009930195187632105,0.0,0.0,0.0,9
Alomomola,0.0,0.04718802089363052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014383862743196177,0.0,0.0,0.0,5
Altaria,0.01323767719383141,0.0,0.0,0.0,0.009708864551812748,0.0,0.02978223344230826,0.014560516150468678,0.0,0.0,0.0,0.0,0.0,0.08618643043936093,0.011743927345469937,0.0,0.0210001921240956,0.0,4
Amaura,0.0,0.014706613132720883,0.0,0.0,0.055590781684978524,0.01437801851758646,0.0,0.0,0.0,0.0,0.018837006464555352,0.0,0.0,0.0197393671039217,0.013448618995603843,0.0,0.0,0.0,13
Ambipom,0.01145794687544273,0.011115867254707751,0.010961746824677545,0.0,0.008403562998754622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01016502318821897,0.0,0.0,0.010756432974311714,3
Amoonguss,0.0,0.0,0.01651992317061036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03242100901754344,7
Ampharos,0.012491805524199456,0.0,0.0,0.09704285147420183,0.01832364486098124,0.011848084211777533,0.0,0.02748021928928394,0.017711256319264082,0.0,0.0,0.0,0.0,0.016266058041891733,0.0,0.0,0.0,0.0,12
Anorith,0.0,0.030245137233430166,0.0,0.0,0.05716308730645053,0.014784680173631107,0.0,0.0,0.0,0.0,0.0,0.017249894522079798,0.026138222554373605,0.0,0.0,0.0,0.0,0.014633576669983566,0
Arbok,0.011947783299577274,0.0,0.0,0.0,0.017525644121925015,0.0,0.0,0.0,0.0,0.0,0.014846466518989621,0.0,0.0,0.015557665883156891,0.01059958608713008,0.0,0.0,0.12337907027814861,3
